"id","nome","descricao","preco","categoria"
28,"Brinco Cravejado ","Disponível no dourado ",20.00,"brincos"
32,"Choker ","Folheado ",35.00,"colares"
33,"Brinco ","Cravejado ",20.00,"brincos"
34,"Bracelete ","Cravejado ",30.00,"pulseiras"
36,"Bracelete ","Cravejado ",30.00,"pulseiras"
40,"Anéis ","Folheado N /19",20.00,"aneis"
41,"Brinco ","Pérola ",25.00,"brincos"
43,"Brinco ","Cravejado ",25.00,"brincos"
44,"Conjunto Árvore da vida ","Aço Inoxidável ",28.00,"colares"
45,"Bracelete ","Cravejado ",30.00,"pulseiras"
46,"Conjunto Cravejado ","Prata ",55.00,"colares"
47,"Tornozeleira ","Aço Inoxidável ",30.00,"pulseiras"
48,"Bracelete ","Aço Inoxidável ",30.00,"pulseiras"
49,"Brinco ","Folheado ",12.00,"brincos"
50,"Brinco ","Folheado ",12.00,"brincos"
51,"Brinco ","Folheado ",12.00,"brincos"
52,"Brinco ","Pérola ",15.00,"brincos"
53,"Conjunto Choker ","Disponível prata ",55.00,"colares"
54,"Conjunto ","Disponível prata ",38.00,"colares"
55,"Conjunto ","Aço Inoxidável ",45.00,"colares"
57,"Conjunto ","Disponível Dourado",45.00,"colares"
58,"Conjunto ","Disponível no prata ",45.00,"colares"
59,"Anéis","Aço Inoxidável ",20.00,"aneis"
60,"Anéis ","Folheado ",12.00,"aneis"
61,"Anéis ","Folheado ",12.00,"aneis"
62,"Brinco ","Disponível Dourado ",15.00,"brincos"
63,"Tornozeleira ","Aço Inoxidável ",30.00,"pulseiras"
64,"Pulseiras ","Folheado ",20.00,"pulseiras"
65,"Conjunto ","Filhos ",45.00,"colares"
66,"Iniciais ","Disponíveis A,B, C, N,P",30.00,"colares"
67,"Conjunto ","Dois banhos ",45.00,"colares"
68,"Bracelete ","Dois banhos ",30.00,"pulseiras"
69,"Bracelete ","Folheado ",30.00,"pulseiras"
70,"Bracelete ","Linha Premium ",50.00,"pulseiras"
72,"Bracelete ","Folheado ",20.00,"pulseiras"
73,"Bracelete ","Folheado ",20.00,"pulseiras"
74,"Choker ","Folheado ",25.00,"colares"
76,"Brinco ","Disponível Dourado ",20.00,"brincos"
77,"Brinco ","Disponível Dourado ",20.00,"brincos"
79,"Conjunto Choker ","Disponível prata ",35.00,"colares"
80,"Conjunto ","Disponível prata e dourado ",45.00,"colares"
81,"Bracelete ","Disponível Dourado ",30.00,"pulseiras"
82,"Colar ","Zircônia ",35.00,"colares"
83,"Braceletes ","Aço/Folheado ",30.00,"pulseiras"
84,"Conjunto ","Disponível prata e dourado ",45.00,"colares"
86,"Conjunto ","Disponível no prata ",65.00,"pulseiras"
87,"Bracelete ","Disponível Dourado ",25.00,"pulseiras"
89,"Conjunto ","Pérola ",38.00,"colares"
90,"Brinco ","Dois banhos ",20.00,"brincos"
91,"Conjunto ","Madrepérola ",38.00,"colares"
26,"Conjunto ","Disponível no dourado ",35.00,"conjunto"
27,"Conjunto ","Pérola ",55.00,"conjunto"
29,"Conjunto Trevo ","Aço Inoxidável ",45.00,"conjunto"
39,"Conjunto ","Cravejado ",45.00,"conjunto"
38,"Conjunto ","Choker ",35.00,"conjunto"
35,"Conjunto ","Choker ",45.00,"conjunto"
37,"Conjunto ","Disponível prata ",30.00,"conjunto"
93,"Bracelete ","Aço Inoxidável ",30.00,"pulseiras"
94,"Colar ","Entrelaçado",28.00,"colares"
95,"Pulseira ","Aço Inoxidável ",30.00,"pulseiras"
96,"Brinco ","Folheado ",15.00,"brincos"
97,"Brinco ","Folheado ",15.00,"brincos"
98,"Brinco ","Folheado ",15.00,"brincos"
99,"Conjunto Choker ","Folheado ",35.00,"colares"
101,"Pulseira ","Linha Premium ",45.00,"pulseiras"
102,"Bracelete ","Folheado ",20.00,"pulseiras"
104,"Pulseira ","Aço Inoxidável ",30.00,"pulseiras"
105,"Colar Folheado ","Religioso ",38.00,"colares"
107,"Conjunto Choker ","Folheado ",35.00,"colares"
108,"Conjunto ","Religioso ",35.00,"conjunto"
109,"Conjunto Trevo ","Aço Inoxidável ",45.00,"colares"
110,"Pulseira ","Aço Inoxidável ",30.00,"pulseiras"
111,"Pulseira ","Folheado ",20.00,"pulseiras"
112,"Conjunto ","Aço Inoxidável ",30.00,"colares"
113,"Conjunto ","Aço Inoxidável ",30.00,"colares"
114,"Iniciais ","Folheado ",30.00,"colares"
115,"Inicial ","Folheado ",28.00,"colares"
116,"Conjunto Choker ","Folheado ",28.00,"colares"
117,"Conjunto Choker ","Disponível no Prata ",45.00,"conjunto"
118,"Conjunto Choker ","Disponível no dourado ",40.00,"conjunto"
119,"Conjunto Choker ","Disponível prata/dourado ",30.00,"conjunto"
120,"Conjunto Cravejado ","Linha Premium ",55.00,"conjunto"
121,"Conjunto Cravejado ","Folheado ",55.00,"conjunto"
123,"Conjunto ","Folheado ",38.00,"conjunto"
126,"Bracelete ","Folheado ",20.00,"pulseiras"
127,"Bracelete ","Folheado ",20.00,"pulseiras"
128,"Brinco ","Folheado ",15.00,"brincos"
129,"Brinco Maxmalista ","Dourado ",15.00,"brincos"
130,"Brinco Cravejado ","Folheado dourado ",20.00,"brincos"
131,"Conjunto ","Cordão Baiano ",35.00,"conjunto"
132,"Brinco  Cravejado ","Dourado ",20.00,"brincos"
133,"Brinco ","Folheado ",12.00,"brincos"
134,"Anéis ","Folheado ",20.00,"aneis"
135,"Anéis em Aço inoxidável ","Numeração disponível do 16 ao 20 ",20.00,"aneis"
136,"Brinco Folheado ","Disponível prata ",12.00,"brincos"
137,"Brinco Estrela do Mar","Disponível no prata ",20.00,"brincos"
138,"Brinco Coração ","Disponível no prata ",10.00,"brincos"
139,"Brinco Maxmalista ","Dourado ",20.00,"brincos"
140,"Colars ","Religiosos ",38.00,"colares"
141,"Brinco Folheado ","Disponível prata ",10.00,"brincos"
142,"Brinco treco Folheado ","Disponível no  dourado ",12.00,"brincos"
143,"Brinco dois banhos ","Folheado ",20.00,"brincos"
144,"Brinco ","Folheado ",12.00,"brincos"
145,"Brinco resina ","Folheado ",15.00,"brincos"
146,"Brinco Folheado ","Disponível no dourado ",12.00,"brincos"
147,"Bracelete Folheado ","Disponível prta e dourado ",30.00,"pulseiras"
148,"Bracelete Folheado ","Disponível no dourado ",30.00,"pulseiras"
150,"Bracelete Folheado ","Disponível no dourado ",30.00,"pulseiras"
151,"Bracelete trevo ","Aço Inoxidável ",30.00,"pulseiras"
152,"Bracelete dez mandamentos ","Dourado ",30.00,"pulseiras"
153,"Bracelete folheado ","Dourado ",30.00,"pulseiras"
154,"Bracelete folheado ","Dourado ",30.00,"pulseiras"
156,"Bracelete folheado ","Prata",30.00,"pulseiras"
157,"Bracelete Folheado ","Prata ",25.00,"pulseiras"
158,"Brinco Madrepérola ","Folheado ",15.00,"brincos"
159,"Brinco ","Folheado ",12.00,"brincos"
160,"Brinco Folheado ","Dourado ",12.00,"brincos"
161,"Brinco Folheado ","Dourado ",15.00,"brincos"
162,"Bracelete Folheado ","Dourado/ prata ",25.00,"pulseiras"
163,"Conjunto Choker ","Dourada",35.00,"conjunto"
164,"Conjunto Folheado ","Religioso ",35.00,"conjunto"
165,"Conjunto ","Aço Inoxidável ",45.00,"aneis"
166,"Tornozeleira ","Aço Inoxidável ",28.00,"pulseiras"
167,"Bracelete ","Linha Premium ",45.00,"pulseiras"
